True Value,No.,Si,Ti,Al,Cr,Fe,Ca,Mg,Mn,Na,H2O (ppm)*
,2016,6.727272727,1.186440678,3.5,4.5,1.826086957,7.857142857,5.317073171,1.5,0.674846626,77.78713004
,2017,6.090909091,1.694915254,4.119047619,1.333333333,4.173913043,7.428571429,4.926829268,1.5,0.981595092,83.74458192
,2018,5.96969697,1.440677966,4.071428571,3.333333333,2.826086957,7.897959184,5.268292683,1.5,0.36809816,85.44671102
,2019,5.909090909,1.440677966,4.928571429,1.666666667,2.739130435,7.775510204,4.512195122,1.5,0.674846626,16.51048214
,2020,5.818181818,1.86440678,4.333333333,1.166666667,6.608695652,6.775510204,4.341463415,3,0.981595092,9.02111406
,2021,5.939393939,1.610169492,4.80952381,3.333333333,4.695652174,7.428571429,3.43902439,2,0.920245399,14.80835303
,2022,6.696969697,1.016949153,4.095238095,1.166666667,2.869565217,7.612244898,4.975609756,2.5,0.797546012,12.42537228
,2023,6.484848485,0.93220339,3.857142857,1,3.565217391,7.530612245,5.487804878,2.5,0.552147239,12.7657981
,2024,6.363636364,1.186440678,4.166666667,0.5,6.47826087,7.06122449,3.975609756,3.5,0.552147239,10.89345608
,2025,5,1.610169492,5.880952381,2.833333333,3.086956522,7.755102041,3.951219512,2.5,0.552147239,20.25516618
,2026,3.666666667,2.457627119,7.142857143,3,4.391304348,7.693877551,3.024390244,2,0.490797546,19.91474035
,2027,7,0.847457627,3.5,0.333333333,4.391304348,7.081632653,5.512195122,1,0.613496933,115.7446091
,2028,5.909090909,1.101694915,4.476190476,0.166666667,5.173913043,7.12244898,5.195121951,1,0.429447853,94.4679953
,2029,6.787878788,0.847457627,3.452380952,0.166666667,4.826086957,7.06122449,5.756097561,1,0.613496933,99.4041697
,2030,7.666666667,0.508474576,3.023809524,0.333333333,5.173913043,6.387755102,5.731707317,1.5,0.552147239,103.1488537
,2031,6.848484848,0.93220339,3.476190476,0.166666667,4.782608696,6.734693878,6.024390244,1.5,0.552147239,96.34033732
