True Value,No.,Si,Ti,Al,Cr,Fe,Ca,Mg,Mn,Na,H2O (ppm)*,Predict_SVC,pro_SVC,predict_pro_SVC
0,1970,5.9393939389999995,0.847457627,5.285714286,0.166666667,7.391304347999999,5.918367347,4.0731707319999995,3.5,1.042944785,144.680804,1.0,0.8471212723275593,1
0,1971,5.696969697,1.271186441,4.785714286,0.833333333,4.608695652,7.408163265,4.658536585,2.0,0.858895706,132.7659002,1.0,0.9601936204324725,1
0,1972,5.242424242,1.0169491529999999,6.166666667,1.0,4.47826087,6.408163265,4.6829268289999995,2.0,0.9815950920000001,160.6808176,1.0,0.9862403739258832,1
0,1973,5.151515152,1.0169491529999999,6.142857143,1.0,4.608695652,6.530612245,4.536585366000001,3.5,1.042944785,140.0850554,1.0,0.8903881474815752,1
0,1974,5.090909091,1.0169491529999999,6.023809524,0.833333333,4.2173913039999995,6.755102041000001,4.853658537,2.5,0.858895706,165.7872049,1.0,0.9939110664276668,1
0,1975,5.181818182,1.0169491529999999,6.142857143,1.0,4.304347826,6.693877551,4.512195122,2.5,0.9815950920000001,154.7233657,1.0,0.9660838705177159,1
0,1976,7.454545455,0.762711864,2.857142857,0.0,7.739130435,5.755102041000001,5.414634146,4.0,1.104294479,92.59565328,1.0,0.7978856981094558,1
0,1977,7.545454545,0.762711864,2.80952381,0.0,7.826086957,5.7959183670000005,5.170731707,4.0,1.042944785,92.9360791,1.0,0.862344603156336,1
0,1978,6.2121212120000004,1.949152542,4.285714286,0.833333333,4.739130435,6.632653061,5.024390244,2.5,1.104294479,46.12752862,-100.0,0.5217620657927262,1
0,1979,8.151515152,1.355932203,2.857142857,0.5,4.391304348,7.12244898,4.0975609760000005,3.0,1.042944785,50.21263848,1.0,0.9919676501004734,1
0,1980,7.96969697,1.271186441,2.857142857,0.5,4.173913043,6.734693878,5.0975609760000005,2.5,0.858895706,34.7232636,1.0,0.912821820425969,1
0,1981,4.848484848,1.101694915,6.071428571,0.666666667,5.0869565219999995,6.693877551,4.780487805,2.0,0.9815950920000001,149.6169784,1.0,0.9049823379784186,1
0,1982,4.848484848,1.0169491529999999,6.261904762,0.833333333,6.304347826,6.551020407999999,3.902439024,3.5,1.042944785,200.0,1.0,0.999999770247572,1
0,1983,7.666666667,0.93220339,2.142857143,0.0,7.913043478,5.734693878,6.0975609760000005,4.0,0.6748466259999999,33.87219904,-100.0,0.7284007695053619,1
0,1984,7.696969697,1.0169491529999999,2.404761905,0.0,8.304347826,5.4897959179999996,5.634146341,4.5,0.552147239,39.31901218,-100.0,0.7396223210460797,1
0,1985,6.9393939389999995,0.423728814,3.595238095,1.166666667,4.0869565219999995,5.87755102,7.073170732,2.5,0.613496933,73.02116852,-100.0,0.2856181876449969,-100
0,1986,6.96969697,0.423728814,3.619047619,1.333333333,4.0,6.040816327000001,6.87804878,1.5,0.36809816,69.61691032,-100.0,0.534689097023209,1
0,1987,6.242424242,0.423728814,4.404761905,1.0,3.739130435,6.428571429,6.43902439,1.0,1.165644172,103.4892796,1.0,0.8585755215379121,1
