True Value,No.,Si,Ti,Al,Cr,Fe,Ca,Mg,Mn,Na,H2O (ppm)*
,2198,1.937 ,0.014 ,0.106 ,0.002 ,0.244 ,0.815 ,0.853 ,0.007 ,0.028 ,144 
,2199,1.961 ,0.011 ,0.097 ,0.011 ,0.243 ,0.844 ,0.789 ,0.006 ,0.027 ,95 
,2200,1.964 ,0.010 ,0.098 ,0.008 ,0.282 ,0.740 ,0.851 ,0.008 ,0.023 ,161 
,2201,1.961 ,0.006 ,0.084 ,0.012 ,0.235 ,0.811 ,0.860 ,0.005 ,0.024 ,108 
,2202,1.972 ,0.010 ,0.082 ,0.005 ,0.246 ,0.829 ,0.816 ,0.006 ,0.018 ,136 
,2203,1.961 ,0.011 ,0.095 ,0.012 ,0.262 ,0.811 ,0.804 ,0.005 ,0.027 ,187 
,2204,1.962 ,0.016 ,0.110 ,0.013 ,0.249 ,0.778 ,0.815 ,0.005 ,0.022 ,153 
,2205,1.956 ,0.006 ,0.073 ,0.005 ,0.239 ,0.824 ,0.874 ,0.007 ,0.023 ,251 
,2206,1.949 ,0.013 ,0.085 ,0.000 ,0.261 ,0.815 ,0.850 ,0.010 ,0.025 ,216 
,2207,1.938 ,0.013 ,0.084 ,0.001 ,0.261 ,0.838 ,0.847 ,0.010 ,0.022 ,144 
,2208,1.960 ,0.004 ,0.070 ,0.014 ,0.219 ,0.840 ,0.862 ,0.005 ,0.031 ,242 
,2209,1.945 ,0.012 ,0.093 ,0.001 ,0.235 ,0.856 ,0.831 ,0.005 ,0.032 ,119 
,2210,1.942 ,0.014 ,0.091 ,0.000 ,0.277 ,0.799 ,0.851 ,0.008 ,0.028 ,211 
,2211,1.933 ,0.014 ,0.105 ,0.004 ,0.266 ,0.824 ,0.825 ,0.010 ,0.032 ,246 
,2212,1.942 ,0.012 ,0.089 ,0.003 ,0.265 ,0.822 ,0.844 ,0.008 ,0.026 ,184 
,2213,1.943 ,0.015 ,0.096 ,0.000 ,0.246 ,0.860 ,0.810 ,0.007 ,0.036 ,212 
,2214,1.943 ,0.004 ,0.095 ,0.004 ,0.202 ,0.854 ,0.882 ,0.005 ,0.021 ,169 
,2215,1.934 ,0.013 ,0.109 ,0.004 ,0.253 ,0.832 ,0.830 ,0.006 ,0.029 ,119 
,2216,1.943 ,0.016 ,0.107 ,0.003 ,0.260 ,0.824 ,0.811 ,0.008 ,0.028 ,192 
,2217,1.938 ,0.014 ,0.103 ,0.003 ,0.264 ,0.815 ,0.840 ,0.005 ,0.030 ,364 
,2218,1.942 ,0.014 ,0.096 ,0.001 ,0.246 ,0.841 ,0.834 ,0.005 ,0.026 ,152 
,2219,1.932 ,0.017 ,0.102 ,0.005 ,0.278 ,0.794 ,0.848 ,0.007 ,0.027 ,249 
,2220,1.930 ,0.009 ,0.121 ,0.009 ,0.180 ,0.835 ,0.891 ,0.004 ,0.029 ,292 
,2221,1.932 ,0.008 ,0.110 ,0.002 ,0.312 ,0.632 ,0.989 ,0.007 ,0.023 ,146 
,2222,1.932 ,0.013 ,0.114 ,0.002 ,0.257 ,0.853 ,0.802 ,0.008 ,0.029 ,149 
,2223,1.929 ,0.019 ,0.105 ,0.002 ,0.273 ,0.810 ,0.840 ,0.007 ,0.028 ,165 
,2224,1.936 ,0.015 ,0.103 ,0.004 ,0.274 ,0.783 ,0.861 ,0.006 ,0.029 ,184 
,2225,1.942 ,0.015 ,0.094 ,0.001 ,0.262 ,0.835 ,0.820 ,0.008 ,0.029 ,142 
,2226,1.939 ,0.015 ,0.087 ,0.000 ,0.276 ,0.823 ,0.834 ,0.007 ,0.032 ,179 
,2227,1.945 ,0.015 ,0.096 ,0.001 ,0.248 ,0.847 ,0.817 ,0.007 ,0.029 ,156 
,2228,1.963 ,0.006 ,0.094 ,0.008 ,0.176 ,0.856 ,0.858 ,0.005 ,0.026 ,165 
,2229,1.988 ,0.006 ,0.079 ,0.010 ,0.268 ,0.772 ,0.815 ,0.008 ,0.028 ,130 
,2230,1.965 ,0.008 ,0.104 ,0.007 ,0.245 ,0.796 ,0.828 ,0.005 ,0.023 ,155 
,2231,1.980 ,0.007 ,0.090 ,0.006 ,0.162 ,0.810 ,0.901 ,0.005 ,0.013 ,99 
,2232,1.981 ,0.009 ,0.078 ,0.010 ,0.269 ,0.744 ,0.858 ,0.006 ,0.019 ,78 
,2233,1.973 ,0.007 ,0.084 ,0.013 ,0.226 ,0.751 ,0.903 ,0.005 ,0.020 ,96 
,2234,1.951 ,0.015 ,0.132 ,0.014 ,0.249 ,0.799 ,0.773 ,0.007 ,0.038 ,121 
,2235,1.969 ,0.006 ,0.098 ,0.010 ,0.162 ,0.839 ,0.874 ,0.003 ,0.020 ,201 
,2236,1.978 ,0.005 ,0.072 ,0.018 ,0.182 ,0.808 ,0.893 ,0.003 ,0.024 ,188 
,2237,1.992 ,0.003 ,0.072 ,0.011 ,0.195 ,0.819 ,0.853 ,0.006 ,0.025 ,100 
,2238,1.985 ,0.003 ,0.072 ,0.019 ,0.197 ,0.802 ,0.869 ,0.005 ,0.023 ,118 
,2239,1.963 ,0.014 ,0.079 ,0.006 ,0.267 ,0.823 ,0.807 ,0.007 ,0.025 ,177 
,2240,1.966 ,0.006 ,0.081 ,0.016 ,0.295 ,0.703 ,0.890 ,0.008 ,0.023 ,210 
,2241,1.970 ,0.007 ,0.086 ,0.017 ,0.199 ,0.840 ,0.830 ,0.006 ,0.030 ,122 
,2242,1.978 ,0.004 ,0.078 ,0.016 ,0.169 ,0.788 ,0.920 ,0.004 ,0.027 ,141 
,2243,1.973 ,0.004 ,0.078 ,0.025 ,0.166 ,0.802 ,0.906 ,0.003 ,0.025 ,121 
,2244,1.983 ,0.006 ,0.066 ,0.012 ,0.209 ,0.822 ,0.857 ,0.005 ,0.024 ,170 
,2245,1.962 ,0.004 ,0.105 ,0.007 ,0.259 ,0.814 ,0.810 ,0.006 ,0.024 ,93 
,2246,1.974 ,0.006 ,0.078 ,0.015 ,0.243 ,0.788 ,0.848 ,0.007 ,0.026 ,112 
,2247,1.961 ,0.005 ,0.101 ,0.013 ,0.203 ,0.798 ,0.880 ,0.005 ,0.023 ,124 
,2248,1.957 ,0.009 ,0.097 ,0.007 ,0.252 ,0.822 ,0.816 ,0.007 ,0.027 ,127 
,2249,1.975 ,0.004 ,0.077 ,0.014 ,0.167 ,0.828 ,0.893 ,0.004 ,0.024 ,130 
,2250,1.951 ,0.009 ,0.134 ,0.003 ,0.211 ,0.822 ,0.823 ,0.004 ,0.025 ,162 
,2251,1.982 ,0.008 ,0.072 ,0.014 ,0.191 ,0.796 ,0.887 ,0.006 ,0.023 ,87 
,2252,1.980 ,0.007 ,0.093 ,0.011 ,0.183 ,0.822 ,0.850 ,0.003 ,0.027 ,135 
,2253,1.977 ,0.007 ,0.081 ,0.012 ,0.259 ,0.805 ,0.810 ,0.007 ,0.023 ,106 
,2254,1.908 ,0.012 ,0.106 ,0.019 ,0.164 ,0.846 ,0.946 ,0.005 ,0.024 ,321 
,2255,1.931 ,0.011 ,0.094 ,0.023 ,0.144 ,0.829 ,0.947 ,0.005 ,0.028 ,379 
,2256,1.954 ,0.007 ,0.057 ,0.015 ,0.134 ,0.820 ,0.995 ,0.008 ,0.025 ,123 
,2257,1.919 ,0.012 ,0.101 ,0.019 ,0.152 ,0.834 ,0.950 ,0.006 ,0.022 ,310 
,2258,1.957 ,0.007 ,0.059 ,0.015 ,0.135 ,0.839 ,0.974 ,0.002 ,0.016 ,379 
,2259,1.953 ,0.007 ,0.059 ,0.014 ,0.150 ,0.825 ,0.982 ,0.004 ,0.020 ,275 
,2260,1.913 ,0.009 ,0.143 ,0.034 ,0.132 ,0.758 ,0.973 ,0.005 ,0.045 ,325 
,2261,1.852 ,0.023 ,0.213 ,0.008 ,0.198 ,0.826 ,0.871 ,0.007 ,0.031 ,574 
,2262,1.963 ,0.006 ,0.047 ,0.021 ,0.137 ,0.776 ,1.028 ,0.003 ,0.034 ,345 
,2263,1.941 ,0.006 ,0.104 ,0.014 ,0.152 ,0.767 ,0.989 ,0.003 ,0.035 ,328 
,2264,1.891326923,0.017306143,0.292981724,0.008504962,0.199129571,0.554937269,0.915019123,0.010315427,0.093227166,98
,2265,1.890458098,0.020058614,0.30184402,0.006609994,0.212055917,0.56632516,0.874661452,0.010115113,0.099704286,410
,2266,1.883620875,0.021132476,0.308150234,0.005920528,0.232335253,0.548985028,0.872049908,0.010608381,0.105183454,290
,2267,1.89348751,0.022656938,0.306594009,0.005242357,0.232032223,0.56278734,0.839194882,0.010172879,0.107459775,181
,2268,1.883673839,0.018749389,0.320750703,0.000840305,0.252944316,0.5699161,0.824199716,0.004900142,0.118044203,0.001
,2269,1.887617535,0.029341569,0.309587408,0.005093376,0.24900824,0.610369646,0.759057117,0.009796171,0.135159981,61
,2270,1.877279805,0.027408592,0.331842681,0.005190799,0.261731261,0.59994671,0.748871973,0.010243234,0.129802448,0.001
,2271,1.869792382,0.039131991,0.337768496,0.005098229,0.271081578,0.647745892,0.665342955,0.009853872,0.161763594,35
,2272,1.868294234,0.036809989,0.342754561,0.000506539,0.28654197,0.62456168,0.686587674,0.004093929,0.160223726,0.001
,2273,1.868333022,0.045664971,0.191154808,0.014852202,0.165388404,0.860504677,0.842180799,0.003431219,0.028291296,0.001
,2274,1.888962464,0.034722258,0.158244032,0.019151986,0.14647285,0.854466849,0.885544971,0.002958133,0.028643612,0.001
,2275,1.931701694,0.018127694,0.107526103,0.026500474,0.11724321,0.864347246,0.911628894,0.001603744,0.026945365,0.001
,2276,1.925902069,0.024241752,0.119334573,0.017549511,0.128410925,0.865746608,0.896296119,0.003118211,0.025685903,0.001
,2277,1.909839189,0.03100595,0.137955463,0.014394646,0.132995306,0.870826003,0.886403093,0.002045175,0.025797622,91
,2278,1.871800151,0.040500008,0.178287679,0.020928862,0.153009646,0.867079718,0.859279451,0.003011235,0.028578777,120
,2279,1.889717505,0.031297231,0.169095913,0.031230907,0.13801295,0.850321868,0.866241646,0.002568492,0.031727955,16
,2280,1.868333022,0.045664971,0.191154808,0.014852202,0.165388404,0.860504677,0.842180799,0.003431219,0.028291296,170
,2281,1.888962464,0.034722258,0.158244032,0.019151986,0.14647285,0.854466849,0.885544971,0.002958133,0.028643612,124
,2282,1.931701694,0.018127694,0.107526103,0.026500474,0.11724321,0.864347246,0.911628894,0.001603744,0.026945365,93
,2283,1.925902069,0.024241752,0.119334573,0.017549511,0.128410925,0.865746608,0.896296119,0.003118211,0.025685903,154
,2284,1.909839189,0.03100595,0.137955463,0.014394646,0.132995306,0.870826003,0.886403093,0.002045175,0.025797622,157
,2285,1.871800151,0.040500008,0.178287679,0.020928862,0.153009646,0.867079718,0.859279451,0.003011235,0.028578777,182
,2286,1.889717505,0.031297231,0.169095913,0.031230907,0.13801295,0.850321868,0.866241646,0.002568492,0.031727955,141
