True Value,No.,Si,Ti,Al,Cr,Fe,Ca,Mg,Mn,Na,H2O (ppm)*
,2022,1.891 ,0.014 ,0.182 ,0.007 ,0.156 ,0.913 ,0.824 ,0.005 ,0.020 ,73
,2023,1.884 ,0.013 ,0.172 ,0.006 ,0.172 ,0.909 ,0.845 ,0.005 ,0.016 ,75
,2024,1.880 ,0.016 ,0.185 ,0.003 ,0.239 ,0.886 ,0.783 ,0.007 ,0.016 ,64
,2025,1.835 ,0.021 ,0.257 ,0.017 ,0.161 ,0.920 ,0.782 ,0.005 ,0.016 ,119
,2026,1.791 ,0.031 ,0.310 ,0.018 ,0.191 ,0.917 ,0.744 ,0.004 ,0.015 ,117
,2027,1.901 ,0.012 ,0.157 ,0.002 ,0.191 ,0.887 ,0.846 ,0.002 ,0.017 ,680
,2028,1.865 ,0.015 ,0.198 ,0.001 ,0.209 ,0.889 ,0.833 ,0.002 ,0.014 ,555
,2029,1.894 ,0.012 ,0.155 ,0.001 ,0.201 ,0.886 ,0.856 ,0.002 ,0.017 ,584
,2030,1.923 ,0.008 ,0.137 ,0.002 ,0.209 ,0.853 ,0.855 ,0.003 ,0.016 ,606
,2031,1.896 ,0.013 ,0.156 ,0.001 ,0.200 ,0.870 ,0.867 ,0.003 ,0.016 ,566
,2032,1.896 ,0.012 ,0.158 ,0.001 ,0.206 ,0.872 ,0.859 ,0.003 ,0.013 ,561
,2033,1.939 ,0.005 ,0.080 ,0.016 ,0.141 ,0.849 ,0.971 ,0.001 ,0.016 ,283
,2034,1.960 ,0.004 ,0.078 ,0.014 ,0.131 ,0.843 ,0.954 ,0.001 ,0.012 ,326
,2035,1.951 ,0.004 ,0.079 ,0.013 ,0.125 ,0.851 ,0.968 ,0.002 ,0.013 ,342
,2036,1.948 ,0.004 ,0.073 ,0.012 ,0.133 ,0.845 ,0.982 ,0.001 ,0.013 ,449
,2037,1.938 ,0.004 ,0.086 ,0.016 ,0.127 ,0.857 ,0.971 ,0.001 ,0.013 ,367
,2038,1.921 ,0.009 ,0.116 ,0.004 ,0.178 ,0.863 ,0.910 ,0.002 ,0.015 ,702
,2039,1.841 ,0.017 ,0.231 ,0.002 ,0.211 ,0.896 ,0.815 ,0.001 ,0.020 ,626
,2040,1.917 ,0.010 ,0.120 ,0.002 ,0.180 ,0.873 ,0.899 ,0.002 ,0.013 ,548
,2041,1.882 ,0.011 ,0.169 ,0.002 ,0.197 ,0.897 ,0.854 ,0.001 ,0.012 ,560
,2042,1.921 ,0.009 ,0.116 ,0.004 ,0.178 ,0.863 ,0.910 ,0.002 ,0.015 ,510
,2043,1.877 ,0.021 ,0.189 ,0.001 ,0.237 ,0.835 ,0.834 ,0.005 ,0.017 ,486
,2044,1.908 ,0.011 ,0.154 ,0.002 ,0.196 ,0.872 ,0.849 ,0.003 ,0.017 ,629
,2045,1.895 ,0.014 ,0.178 ,0.001 ,0.205 ,0.859 ,0.838 ,0.003 ,0.017 ,717
,2046,1.850 ,0.016 ,0.236 ,0.004 ,0.209 ,0.891 ,0.796 ,0.003 ,0.019 ,642
,2047,1.845 ,0.017 ,0.222 ,0.004 ,0.213 ,0.885 ,0.828 ,0.003 ,0.017 ,649
,2048,1.855 ,0.018 ,0.227 ,0.002 ,0.216 ,0.881 ,0.803 ,0.003 ,0.016 ,783
,2049,1.887 ,0.012 ,0.179 ,0.001 ,0.210 ,0.865 ,0.845 ,0.003 ,0.019 ,595
,2050,1.867 ,0.014 ,0.194 ,0.002 ,0.210 ,0.884 ,0.839 ,0.002 ,0.015 ,727
,2051,1.929 ,0.007 ,0.119 ,0.004 ,0.190 ,0.829 ,0.916 ,0.004 ,0.011 ,330
,2052,1.955 ,0.005 ,0.080 ,0.006 ,0.134 ,0.866 ,0.943 ,0.002 ,0.011 ,243
,2053,1.900 ,0.009 ,0.135 ,0.010 ,0.170 ,0.887 ,0.898 ,0.002 ,0.015 ,522
,2054,1.946 ,0.005 ,0.085 ,0.012 ,0.126 ,0.872 ,0.945 ,0.001 ,0.017 ,437
,2055,1.947 ,0.005 ,0.081 ,0.005 ,0.136 ,0.868 ,0.956 ,0.001 ,0.013 ,384
,2056,1.928 ,0.012 ,0.104 ,0.004 ,0.253 ,0.807 ,0.885 ,0.006 ,0.013 ,153
,2057,1.933 ,0.010 ,0.088 ,0.005 ,0.238 ,0.828 ,0.895 ,0.007 ,0.014 ,101
,2058,1.946 ,0.008 ,0.087 ,0.003 ,0.258 ,0.759 ,0.924 ,0.008 ,0.018 ,140
,2059,1.928 ,0.012 ,0.104 ,0.004 ,0.253 ,0.807 ,0.885 ,0.006 ,0.013 ,153
,2060,1.933 ,0.010 ,0.088 ,0.005 ,0.238 ,0.828 ,0.895 ,0.007 ,0.014 ,101
,2061,1.945 ,0.008 ,0.087 ,0.003 ,0.258 ,0.759 ,0.923 ,0.008 ,0.018 ,140
,2062,1.937 ,0.013 ,0.093 ,0.004 ,0.262 ,0.771 ,0.903 ,0.008 ,0.020 ,137
