True value,No.,Si,Ti,Al,Cr,Fe,Ca,Mg,Mn,Na,H2O (ppm)*
1,92,1.884030379,0.03730259,0.159510843,0.012497008,0.208920393,0.885149573,0.788222623,0.002486416,0.028750474,276 
1,93,1.901172433,0.039036734,0.124846951,0.009236908,0.225925619,0.879582052,0.792090207,0.005730771,0.028172418,241 
1,94,1.942370058,0.029833948,0.100327955,0.017834365,0.211656173,0.857029767,0.792350101,0.004073938,0.022772193,206 
1,95,1.913637194,0.024505932,0.116319176,0.019499067,0.207497543,0.887139731,0.80988097,0.005041302,0.020195302,201 
1,96,1.886505496,0.030562185,0.161989933,0.027864095,0.202330773,0.873341942,0.787105309,0.003656582,0.02684293,183 
1,97,1.889996469,0.042106481,0.171440421,0.016504418,0.234026713,0.874186353,0.725934059,0.004578283,0.02898335,163 
1,98,1.918156787,0.032513353,0.105412662,0.001633361,0.233993836,0.882881561,0.801938122,0.005726833,0.023305671,241 
1,99,1.920879777,0.02744281,0.119802812,0.019097766,0.19508944,0.874151009,0.808149069,0.004066966,0.025422906,227 
1,100,1.919556045,0.02742006,0.11340853,0.021079482,0.202002927,0.866600134,0.817883578,0.005575285,0.021294779,304 
1,101,1.935805498,0.028368826,0.095536592,0.005457142,0.220861546,0.863381754,0.816211352,0.005346163,0.023975103,131 
1,102,1.939968305,0.027783408,0.097497855,0.012917188,0.207195552,0.855993385,0.820667187,0.003459636,0.023116497,150 
1,103,1.896295112,0.044462437,0.145020437,0.003114312,0.223849692,0.877194833,0.776418608,0.00503615,0.026371168,304 
1,104,1.90515998,0.030299426,0.124276384,0.025371436,0.2015103,0.875123095,0.811340775,0.002651817,0.027966936,195 
1,105,1.914114192,0.029876816,0.128464017,0.025227596,0.196090867,0.873814824,0.792484864,0.003829614,0.026227542,338 
1,106,1.890086801,0.040564316,0.16121605,0.017093607,0.214330362,0.873278851,0.764028396,0.003681451,0.027586812,252 
1,107,1.907852673,0.031468186,0.13342176,0.025335156,0.193821674,0.876844102,0.79723358,0.004197582,0.022251939,170 
1,108,1.931531307,0.03353751,0.098889913,0.002061901,0.238974758,0.877211501,0.783633617,0.005774885,0.022682531,189 
1,109,1.880747947,0.039299169,0.143789875,0.015500806,0.221565828,0.884601882,0.795607332,0.003914828,0.028040922,272 
1,110,1.921379124,0.03103508,0.099396212,0.002718972,0.237552849,0.872970094,0.810549476,0.005002608,0.02739686,248 
1,111,1.901493579,0.038248167,0.13174865,0.010310488,0.218930427,0.882005796,0.788374748,0.003913409,0.026730366,164 
1,112,1.881809426,0.036234105,0.162110073,0.025749193,0.2010324,0.88847733,0.77555937,0.004797535,0.021097309,257 
1,113,1.922789998,0.026947934,0.102093537,0.017157668,0.205809791,0.862048948,0.831605499,0.00505333,0.027039515,233 
1,114,1.918704701,0.03348126,0.10266378,0.0055128,0.227916325,0.881696046,0.808246554,0.003189881,0.024508818,146 
1,115,1.935399818,0.037761388,0.100020976,0.000996141,0.246467492,0.877604123,0.759442913,0.004708207,0.026081976,311 
1,116,1.894687042,0.034599594,0.156754211,0.027980846,0.206119725,0.876347328,0.766189164,0.004291396,0.02275306,193 
1,117,1.906682892,0.028634032,0.131089779,0.02115454,0.201015268,0.878711959,0.802370266,0.004117769,0.025831807,326 
1,118,1.896508069,0.032526002,0.127663594,0.020641083,0.204433366,0.891332236,0.805642441,0.004460636,0.026070528,238 
1,119,1.917211325,0.026735733,0.114814373,0.020211616,0.212387814,0.852272865,0.825387937,0.006091954,0.022254593,234 
1,120,1.89496121,0.034930563,0.140567675,0.012270585,0.221899539,0.882107938,0.788005694,0.004624795,0.028642195,207 
1,121,1.920856757,0.037492093,0.103708172,0.001000108,0.254574188,0.881458124,0.771121233,0.004348801,0.028277835,222 
1,122,1.919929134,0.032504071,0.111716387,0.013920858,0.210829795,0.863569797,0.81587972,0.004552635,0.023502397,149 
1,123,1.905259789,0.030556259,0.136044922,0.025459732,0.19988998,0.877276626,0.792358757,0.004164949,0.022580744,219 
1,124,1.895690291,0.031281814,0.139377897,0.027542917,0.202134969,0.881228147,0.792973461,0.003365994,0.027940285,304 
1,125,1.89916771,0.039083983,0.138273889,0.003113294,0.237414995,0.878778875,0.774946274,0.005600886,0.026002404,166 
1,126,1.929743893,0.031922121,0.094336513,0.005435812,0.2144293,0.877351935,0.817251353,0.004494251,0.024633012,160 
1,127,1.936765906,0.027432193,0.09223603,0.014097551,0.215461775,0.857385962,0.822506372,0.004709906,0.024078833,229 
1,128,1.931246237,0.030691445,0.10366161,0.01184759,0.210907201,0.864800442,0.808700847,0.005171081,0.025252809,150 
