True value,No.,Si,Ti,Al,Cr,Fe,Ca,Mg,Mn,Na,H2O (ppm)*
1,279,5.020589515,4.74686,4.997928762,3.193164167,5.932610913,6.776885388,2.827496902,1.739454,1.360487178,34.8934765
1,280,8.66104997,1.18015822,2.253165095,2.2986475,5.679133174,5.320353653,5.39454239,2.4104315,0.871853129,23.6594244
1,281,6.599874152,3.042083559,3.62440719,1.877543667,7.162021652,5.870249673,4.128735244,2.021996,1.092418282,17.5317596
1,282,4.861177939,4.304342627,5.007872643,3.078461667,6.161846391,6.369619327,3.745702878,1.7275455,1.260011104,44.42539952
1,283,5.631030545,3.717244661,4.398745714,2.404948667,6.942282913,6.399005204,3.418640659,1.7545415,1.33754865,30.46794082
1,284,6.229754939,2.684716186,4.077778048,3.687715833,5.12218387,6.663657816,4.013571317,1.6369655,1.100209755,26.72325678
1,285,4.496211606,4.933917712,5.476491476,1.996942667,6.732054043,6.489549633,2.977724805,2.0284495,1.195199448,38.46794764
1,286,5.199718939,3.976748305,4.869337238,2.6212065,6.307452826,6.467766551,3.548729927,1.61889,1.150981718,32.17006994
1,287,7.605848485,1.992819915,2.106338786,2.570081167,4.640272435,5.99454802,6.673156341,2.057198,0.549748405,25.87219224
1,288,5.541516182,2.552569492,4.56786569,1.8891525,6.276496304,6.580097469,4.28943861,1.359809,1.258173558,27.57432134
1,289,7.935043758,1.708450339,1.841098548,3.080977833,3.88989,6.290154939,6.640784512,1.4681515,0.83835816,27.40410842
1,290,6.102208242,3.399399407,3.369583643,0.089262,7.559396522,6.564465306,4.38168422,2.422599,1.401488528,41.36156712
1,291,5.972705909,2.753831102,4.081302405,3.629486333,5.048980609,6.477841286,4.713124,1.5016065,0.955709325,40.85092838
1,292,7.804164061,1.434062203,2.170935048,3.890822667,3.851212783,6.196316163,6.406229561,1.6454,0.802953742,36.59560562
1,293,6.429955818,2.170651949,3.398194476,4.862962833,3.721560609,7.130089633,5.010531659,2.4578625,1.039759264,39.4892251
1,294,7.402226818,1.806952797,1.999497571,2.861018667,4.327802261,6.39855449,6.865046878,1.804532,0.703244233,32.17006994
1,295,6.784299485,2.672823136,3.53127319,1.113279167,5.615442609,6.652665939,4.038505561,1.820695,2.327591718,18.89346289
1,296,6.676314545,2.85645,4.018527643,0.466529,6.900503478,5.80609202,3.746341902,1.0259165,2.735808712,24.34027604
1,297,6.497536121,1.934320085,4.729885333,2.289376333,6.296692739,4.825779041,4.334061098,1.659468,3.620361902,38.46794764
1,298,7.403844273,1.833357542,2.18114769,0.142795333,7.660438348,6.017828163,5.492780366,1.9781985,1.966407485,25.02112768
1,299,8.444299424,1.637242881,1.769948571,1.802211833,5.124094435,6.209322571,5.518337585,1.686162,1.122906442,15.82963049
1,300,7.208352848,2.654733136,2.367183667,0.608468167,7.531169826,6.209884061,4.980226463,1.939836,0.921603067,28.76581172
1,301,6.889152727,3.162959068,2.742886881,0,7.14329713,7.136899429,3.730028902,1.9339035,1.631978896,23.6594244
1,302,4.834039,4.474688898,4.802032524,2.448896167,7.140938435,5.827039612,4.072558341,1.4658005,2.161613129,11.06366899
1,303,7.339207182,1.80080161,2.240409524,1.023382333,7.53804513,5.72159802,5.870794439,3.2732445,1.012089018,56.51051618
1,304,6.300747485,3.194457458,3.353651524,0.198296833,7.108420261,6.605744857,4.432922317,1.5614405,1.168194479,51.91476758
1,305,7.80613097,1.812922966,2.367121095,1.7803925,5.650652522,6.408406939,5.099025732,1.1318545,0.895172086,39.99986382
1,306,6.537434212,2.63451822,3.582130333,2.903681167,6.13559213,6.404374776,4.229887244,1.910691,1.012005092,43.40412204
1,307,6.118978,3.110649237,3.117303405,0.697490167,7.733044043,6.582544633,4.691133805,2.050937,1.182614479,42.38284458
1,308,5.854029242,3.409559407,3.899607,1.479017667,7.026091304,6.825308857,3.738299902,1.626626,0.989977301,47.14880608
1,309,4.146536545,4.95174161,5.486155786,2.569473667,6.448621696,6.851876224,3.183160341,1.442419,1.320216135,58.89349694
1,310,7.505275152,2.281051017,2.367012071,2.040352,5.414318739,5.937930286,6.043924488,1.584506,0.429801288,37.61688308
1,311,7.802692242,1.926925424,2.036769119,1.669013333,6.950349696,5.704038449,5.699090098,1.8301325,0.767018037,42.38284458
1,312,7.42192703,1.67634822,2.018360048,1.649559167,9.262783043,2.145546429,9.381736488,3.748804,0.707201656,26.72325678
1,313,7.838437909,1.519298559,1.881658024,1.614189667,7.234441913,4.530305878,7.345972293,2.6175,0.789996564,11.91473354
1,314,6.512142242,1.800508305,3.30819431,5.091434333,5.595591391,5.099467265,6.538751707,1.6284735,1.355730123,27.40410842
1,315,6.908379667,1.36561678,2.586921929,3.998124333,5.360866739,4.693501531,8.121163659,2.506914,1.116090429,14.12750139
1,316,7.158622667,1.747468136,3.49267131,2.6778975,6.873749913,2.587125367,8.052143707,1.9178015,1.326675031,18.04239833
1,317,6.257927515,2.145413983,3.854777286,2.661205167,6.649946087,4.347789388,6.687856049,2.7883635,1.383304969,25.3615535
1,318,8.010454303,1.526646525,2.439025405,1.078303333,5.983644391,4.262638755,7.253523927,2.6538755,1.254291411,14.97856594
1,319,7.972008515,2.011317627,1.998071143,2.128177,6.016460826,5.712648082,5.787336829,3.3262655,0.811849202,12.7657981
1,320,6.370832939,1.931336525,3.139572571,4.548858,5.507016652,5.47125302,6.831849293,1.7587915,0.532086626,30.46794082
1,321,8.014092576,1.796024407,1.599749167,2.470486167,6.577322522,4.796670388,7.252455098,1.7853485,0.727425644,24.34027604
1,322,7.837050303,1.115036271,1.521834762,2.3839745,8.398106,2.463214571,9.97842361,1.74776,0.017622577,27.23389552
1,323,6.910280788,1.011726441,3.392435143,1.702779,7.442803087,2.404680041,9.139923122,1.516721,1.437081595,20.42537908
1,324,6.704129818,1.854829407,3.820293905,1.90514,7.056721348,2.808350653,8.014993415,1.080545,1.563078221,17.5317596
1,325,7.235053848,2.086787458,2.350453095,1.400006,8.014054217,4.545176286,6.875593098,2.485791,0.754831902,18.55303707
1,326,7.103906848,2.173667712,2.354788167,2.149951667,7.691602087,4.137512694,7.560603098,1.90726,0.760509448,12.7657981
1,327,7.708847091,1.485716356,3.012053024,0.732301167,5.646173478,5.994929347,5.27125622,2.71449,0.262468834,27.91474716
1,328,7.010497758,2.080642373,3.131902667,1.229761167,6.836710826,6.26826602,4.657972463,3.3333765,0.649480061,27.57432134
1,329,7.095324485,2.008746186,3.02677231,1.357009333,5.906754391,5.592038388,6.02678139,2.275516,0.906519632,12.42537228
1,330,8.363719182,1.341749915,2.29101819,1.0756105,6.167444478,3.062595306,8.416178146,2.9564345,0.849083558,13.44664974
1,331,6.896526727,1.860224153,3.360937429,2.2332865,5.600181826,5.399199918,6.06118178,2.318964,1.236558098,19.23388871
1,332,7.066732212,2.041742458,3.579956786,1.862814333,5.811726826,4.687523918,6.149336732,2.5323835,1.234599448,15.31899176
1,333,8.373610545,0.940117797,2.48861781,1.029270333,6.657849522,2.49840449,8.728211244,2.3341905,1.046769264,13.44664974
1,334,6.858733515,1.826137881,2.684800262,5.8380475,6.849398087,4.964985,6.283701463,1.175651,1.13354681,22.97857274
1,335,7.167524818,1.997851271,3.479932929,1.686514667,6.246015913,4.553716918,6.21731339,2.780509,0.689362454,14.80835303
